"Hora","Tratamientos","n","mean","sd"
"3h","Control",3,42916.667,1443.376
"3h","DMSO",3,41250,1250
"3h","62.5 然",3,26250,1250
"3h","125.0 然",3,22500,1250
"6h","Control",3,53750,4506.939
"6h","DMSO",3,50000,3750
"6h","62.5 然",3,29166.667,721.688
"6h","125.0 然",3,27916.667,2886.751
"12h","Control",3,62500,1250
"12h","DMSO",3,58750,2165.064
"12h","62.5 然",3,32500,2165.064
"12h","125.0 然",3,34166.667,1443.376
"24h","Control",3,82500,1250
"24h","DMSO",3,79166.667,1443.376
"24h","62.5 然",3,40416.667,721.688
"24h","125.0 然",3,45416.667,721.688
